Time,Block #,Address,Balance,Identity A,Logo A,Identity B,Logo B
2021-10-27 21:10:55,7445174,5DyBYy8dPGJTE1hDCHZFU6ZyjkCHrDEhfKExqVz5zgscPay7,1584120999957,0,100,100,0
2021-10-27 21:10:55,7445174,5DyBYy8dPGJTE1hDCHZFU6ZyjkCHrDEhfKExqVz5zgscPay7,1584120999957,0,100,100,0
2021-10-27 21:12:08,7445186,5HH1Azw13RECHmi2eLYzQy7VYEHMZAnMBXShZnj6Fx359Ms7,1509843999986,0,100,100,0
2021-10-27 21:12:25,7445189,5EniYreQUbU35W6yD9iLuCYDjPi4LbCTaiMnbvQJMRy5Fux8,63367428885296,0,0,100,100
2021-10-27 21:12:43,7445192,5GhCgvZ4MnwXCQ4zcPaAj5KQb455m6uYethxZRv52mShzFGT,12069028121,0,100,100,0
2021-10-27 21:12:49,7445193,5CaSoDdgf99x2nj5hutQhVjViKn5tEQerw7JFKPmxA7WzzuJ,7747996643954,0,100,100,0
2021-10-27 21:13:23,7445197,5FCecj2R49WuzUWLEjvDFig5NXEP7X5ywBrFfsx5hzqbvRr6,1295047092937,0,0,100,100
2021-10-27 21:14:07,7445204,5GWmZ7fKqbiRU6uAnY1U2AwUuUVn4iC8eFF8CfZaqqWZs6Lz,117165855500,0,100,100,0
2021-10-27 21:14:19,7445207,5EXGHTXipM5hRET1vCaWHHfCLXdaaGfso941s39gh544ZFJ2,11309341930,0,100,100,0
2021-10-27 21:15:25,7445218,5GLRqXCdVijyp9wQkHqKJBVSwpje19YaNJXGXUKiyvBvCscY,166247999970,25,100,75,0
2021-10-27 21:16:14,7445226,5DFzv4ejFxyLwCpDGhmQzzugGFi5DANk7xX2xdDkEJWoqEG5,12689999970,0,100,100,0
2021-10-27 21:17:07,7445235,5DFGZq1FvGL6XWAheZnVYWUwf4f6xTmyTZWfdmPjEJ2ff6Gk,1261854510837,75,25,25,75
2021-10-27 21:17:08,7445235,5DFGZq1FvGL6XWAheZnVYWUwf4f6xTmyTZWfdmPjEJ2ff6Gk,1261854510837,75,25,25,75
2021-10-27 21:17:31,7445239,5GdrDodiKcDw743tPk3cUmSvVAr5bBRC1S6mZmZgEuXJfMXz,4003070000000,100,100,0,0
2021-10-27 21:18:26,7445248,5GGjA1ozGpZxTh3Zcaie6sggrhCRQDLEhw2ioCTW6Z829UJK,474094916441,25,100,75,0
2021-10-27 21:19:01,7445254,5GGjA1ozGpZxTh3Zcaie6sggrhCRQDLEhw2ioCTW6Z829UJK,474094916441,25,100,75,0
2021-10-27 21:20:13,7445266,5GxBMcceTChvQwZyu92JXrRQYYSbyJo1YycoVYtyrTGBQqo8,26620093895326,100,100,0,0
2021-10-27 21:20:56,7445273,5DwuVwGYp76RYrEvdheQapnzyJB1qjboJc8Q9Wvc3rUwhBdM,26627941244538,100,100,0,0
2021-10-27 21:21:08,7445275,5ESJi8YwPetLAkbyQrJqPGZnhWGqXMsabj4WsT1NbxzFTjKE,15349000000,25,75,75,25
2021-10-27 21:21:13,7445276,5DFgT7RV6R16ZxWYbK5FvtBA1Q3D2qW1vTnMHTVctFev7Aqu,26626138534414,100,100,0,0
2021-10-27 21:24:01,7445304,5Dsp4abKWw7x2DG9ZzEWr5u7XFe7z13sXwMaCthNUgmqq8j6,69458902200,75,100,25,0
2021-10-27 21:24:07,7445305,5GHtnid2rcka74hE2GkdBp3P51C4QmevBUHTu3AY22xdXY42,18276999972,100,0,0,100
2021-10-27 21:25:13,7445316,5CSED5Xr9MreHPyGRAWaB3gT3CMpb7e7UHsDwkpYDJpiSGR3,626854000000,100,100,0,0
2021-10-27 21:25:25,7445318,5CwMeoZZ26CURzU4UcMwZmspxXX4spUgzjGb6sjGU9rhfMUs,751883189171,0,100,100,0
2021-10-27 21:25:32,7445319,5CSU6bEeLgibB1tNDLB9qzsLZjqncHF9yNWKSMTQpA7VBH5M,2453359000000,0,100,100,0
2021-10-27 21:26:14,7445326,5G23wrj7USuEvcUvweULDGMkMDMDvhgrAiUwkYXCZmcVNeYS,19089000000,0,0,100,100
2021-10-27 21:26:32,7445328,5Dff8XXfYfZaSVmzBQzWUuK2Gs759QAUTcSbVNbjkv7PRxbG,14089000000,100,100,0,0
2021-10-27 21:26:55,7445333,5EPU2Pg4fxsVdqJoeqo2HgDvV5qoifcbEmW2Gg8R8yYyCz7c,19434999986,100,100,0,0
2021-10-27 21:28:07,7445345,5GHkYUgXkfYPvfgVUwbtZ8xpf91rzgBXucfWDXeCL4cv3XMw,54401860500,0,0,100,100
2021-10-27 21:28:09,7445345,5GHkYUgXkfYPvfgVUwbtZ8xpf91rzgBXucfWDXeCL4cv3XMw,54401860500,0,0,100,100
2021-10-27 21:28:13,7445346,5DZaQ9DyWGeqBaaYGRWCxWsdRSKhkhkdpZTzHya3dwvhetbw,817491435167,100,100,0,0
2021-10-27 21:28:14,7445346,5DZaQ9DyWGeqBaaYGRWCxWsdRSKhkhkdpZTzHya3dwvhetbw,817491435167,100,100,0,0
2021-10-27 21:29:10,7445355,5DvqcEPcDi9jpAy3DDu8PFXhm6evBUGhMjUxd49o57hz49Uu,12639111374,25,100,75,0
2021-10-27 21:29:10,7445355,5DvqcEPcDi9jpAy3DDu8PFXhm6evBUGhMjUxd49o57hz49Uu,12639111374,25,100,75,0
2021-10-27 21:29:13,7445356,5HgbYY4xQj4jZ7syRrTmrsZWfewezcVP3JzGoTGZ4i5RbvtG,2507440032907,0,100,100,0
2021-10-27 21:29:19,7445357,5GWF5JddjoyXQv5T2CNiswajU38Z7cKnggFKTAEGMFaaKrz8,1999616445486,0,50,100,50
